tahun;minggu;total_hujan;total_temperatur;total_kelembapan;kasus
2025;1;224.1;656;18.8;178
2025;2;196.4;576;43.8;176
2025;3;198.5;577;54.4;185
2025;4;195.2;590;102;179
2025;5;183.9;639;245.6;295
2025;6;194.9;593;223.6;207
2025;7;199.8;575;23.4;296
2025;8;197.2;569;14.4;399
2025;9;196.8;587;48.5;425
2025;10;199.3;582;137.3;387
2025;11;196.9;581;107.8;424
2025;12;195;589;47.2;534
2025;13;200.5;598;43.4;511
2025;14;201.3;561;1.8;513
2025;15;204.8;549;54.8;326
2025;16;201.1;573;52.6;507
2025;17;203.7;552;78.7;579
2025;18;206.5;519;12.8;452
2025;19;204.7;554;50.8;493
2025;20;201.4;578;167.6;447
2025;21;198.8;582;82;409
2025;22;201.2;565;56;432
2025;23;205.2;529;0.4;383
2025;24;201.6;537;22.6;346
2025;25;196.9;541;56.4;304
2025;26;203.5;509;9.2;288
2025;27;199;537;16.2;251
2025;28;197.1;481;0.6;284
2025;29;196.8;491;9.2;313
2025;30;199.2;472;0;254
2025;31;202.2;483;0;336
2025;32;199.1;536;108.3;265
2025;33;196.7;508;78.4;215
2025;34;197.5;525;12.6;192
2025;35;201.8;448;0.8;176
2025;36;205.6;426;1.6;188
2025;37;198.7;519;32.6;170
2025;38;203.9;502;49.6;163
2025;39;210.4;466;9.7;136
2025;40;199.1;515;19.7;124
2025;41;209.3;468;43.8;107
2025;42;212.3;505;95.8;108
2025;43;195.8;586;150.8;203
2025;44;200.8;556;156;126
2025;45;198.8;559;50.6;182
2025;46;194.6;588;43;165
2025;47;199.4;567;19;265
2025;48;205.4;504;0.2;242
2025;49;198.5;558;78.2;341
2025;50;197.8;574;38.8;344
2025;51;200.6;557;56;387
2025;52;200.8;576;57.8;424
